Description,Retail UPC,Retail,Price
MARLBORO KING,28200003584,5.85,54.84
MARLBORO KING,28200003584,5.85,54.64
MARLBORO MEN 100 BOX,28200003645,5.7,54.84
MARLBORO MEN 100 BOX,28200003645,5.7,54.64
MARLBORO MENTHOL BOX,28200003614,5.7,54.84
MARLBORO MENTHOL BOX,28200003614,5.85,54.64
MARLBORO MN BX $1 OFF,28200173591,4.7,54.84
MARLBORO MN BX $1 OFF,28200173591,4.7,44.64
MARLBORO MN BX $2/2PK,28200174024,9.4,54.11
MARLBORO MN BX $2/2PK,28200174024,9.4,43.91
MARLBORO NXT BOX,28200317728,5.05,54.84
MARLBORO NXT BOX,28200317728,5.05,54.64
MARLBORO NXT BOX 75¢ OFF,28200176035,4.3,54.84
MARLBORO NXT BOX 75¢ OFF,28200176035,4.3,47.14
MARLBORO NXT BX .50/1PK,28200174925,4.55,54.84
MARLBORO NXT BX .50/1PK,28200174925,4.55,49.64
MARLBORO RED LAB 100,28200003676,5.85,54.84
MARLBORO RED LAB 100,28200003676,5.85,54.64
MARLBORO RED LAB 100B,28200003690,5.85,54.84
MARLBORO RED LAB 100B,28200003690,5.85,54.64
MARLBORO RED LABEL,28200003652,5.85,54.84
MARLBORO RED LABEL,28200003652,5.85,54.64
MARLBORO RED LABEL BX,28200003683,5.85,54.84
MARLBORO RED LABEL BX,28200003683,5.85,54.64
MARLBORO REDLBX $1/1PK,28200173461,4.85,54.84
MARLBORO REDLBX $1/1PK,28200173461,4.85,44.64
MARLBORO SILVER BOX,28200004772,5.85,54.84
MARLBORO SILVER BOX,28200004772,5.85,54.64
MARLBORO SILVER MN BX,28200004819,5.7,54.84
MARLBORO SILVER MN BX,28200004819,5.7,54.64
MARLBORO SILVER 100BX,28200004789,5.85,54.84
MARLBORO SILVER 100BX,28200004789,5.85,54.64
MARLBORO SILVER 72 BX,28200003867,5.05,54.84
MARLBORO SILVER 72 BX,28200003867,5.05,54.64
MARLBORO SILVERMN100B,28200004857,5.7,54.84
MARLBORO SILVERMN100B,28200004857,5.7,54.64
MARLBORO SKYLINE BOX,28200009432,5.7,54.84
MARLBORO SKYLINE BOX,28200009432,5.7,54.64
MARLBORO SKYLINE 100B,28200009449,5.7,54.84
MARLBORO SKYLINE 100B,28200009449,5.7,54.64
MARLBORO SMOOTH MNBX,28200003232,5.7,54.84
MARLBORO SMOOTH MNBX,28200003232,5.7,54.64
MARLBORO SMOOTH 100BX,28200003034,5.7,54.84
MARLBORO SMOOTH 100BX,28200003034,5.7,54.64
MARLBORO SMTHBX $2/2PK,28200174383,9.4,54.84
MARLBORO SMTHBX $2/2PK,28200174383,9.4,44.64
MARLBORO VA BLEND BX,28200009722,5.85,54.84
MARLBORO VA BLEND BX,28200009722,5.85,54.64
MARLBORO 100,28200003621,5.85,54.84
MARLBORO 100,28200003621,5.85,54.64
MARLBORO 100 BOX,28200003638,5.85,54.84
MARLBORO 100 BOX,28200003638,5.85,54.64
MARLBORO 72 BOX,28200009630,5.05,54.84
MARLBORO 72 BOX,28200009630,5.05,54.64
MARLBORO 83'S BOX,28200318527,5.85,54.84
MARLBORO 83'S BOX,28200318527,5.85,54.64
MARLBORO 83'S BX $1/1PK,28200174949,4.85,54.84
MARLBORO 83'S BX $1/1PK,28200174949,4.85,44.64
MAVERICK BOX,26100008746,4.79,42.08
MAVERICK GOLD BOX,26100008845,4.79,42.08
MAVERICK GOLD 100 BX,26100001556,4.79,42.08
MAVERICK MEN 100 BOX,26100001457,4.79,42.08
MAVERICK MENTHOL BOX,26100001280,4.79,42.08
MAVERICK MN GOLD 100B,26100001303,4.79,42.08
MAVERICK SILVER 100BX,26100006537,4.79,42.08
MAVERICK SILVERMN100B,26100006551,4.79,42.08
MAVERICK 100 BOX,26100001532,4.79,42.08
NAT AM SPIRIT BLUE BOX,47995855086,6.49,59.65
NAT AM SPIRIT CELADON BX,47995855215,6.49,59.65
NAT AM SPIRIT DK BLUE BX,47995856038,6.49,59.65
NAT AM SPIRIT DK GRN BX,47995855222,6.49,59.65
NAT AM SPIRIT GOLD BX,47995855253,6.49,59.65
NAT AM SPIRIT GREEN BOX,47995855055,6.49,59.65
NAT AM SPIRIT ORANGE BX,47995855239,6.49,59.65
NAT AM SPIRIT PERQ BLK BX,47995855079,6.49,59.65
NAT AM SPIRIT PERQ GRAY BX,47995856014,6.49,59.65
NAT AM SPIRIT TAN BOX,47995856052,6.49,59.65
NAT AM SPIRIT TURQ BOX,47995855246,6.49,59.65
NAT AM SPIRIT YELLOW BX,47995855093,6.49,59.65
NEWPORT BOX,26100005752,6.79,59.15
NEWPORT BOX 50¢/1PK,26100006674,6.29,0
NEWPORT KING,26100005783,6.79,59.15
NEWPORT MEN BLUE BOX,26100005837,6.79,59.15
NEWPORT MEN GOLD BOX,26100005769,6.79,59.15
NEWPORT MN BLUE 100BX,26100005806,6.79,59.15
NEWPORT MN GOLD 100BX,26100005721,6.79,59.15
NEWPORT MN SMTH SEL BX,26100006704,6.79,59.15
NEWPORT N/MN GOLD BX,26100006605,5.29,44.75
NEWPORT N/MN GOLD100B,26100006612,5.29,44.75
NEWPORT NON MEN BOX,26100006568,5.29,44.75
NEWPORT NON MEN 100BX,26100006575,5.29,44.75
NEWPORT SMTHSEL100 BX,26100006681,6.79,59.15
NEWPORT 100,26100005776,6.79,59.15
NEWPORT 100 BOX,26100005738,6.79,59.15
PALL MALL BKM100B 50¢/1PK,27200347407,4.07,50.64
PALL MALL BKM100B 50¢/1PK,27200347407,4.07,45.64
PALL MALL BLK MEN BX,27200347254,4.57,50.64
PALL MALL BLK MN100BX,27200347285,4.57,50.64
PALL MALL BLKMB 50¢/1PK,27200347377,4.07,50.64
PALL MALL BLKMB 50¢/1PK,27200347377,4.07,45.64
PALL MALL BLUE BOX,27200008544,4.57,50.64
PALL MALL BLUE 100 BX,27200008629,4.57,50.64
PALL MALL BLUEBX 50¢/1PK,27200003884,4.07,50.64
PALL MALL BLUEBX 50¢/1PK,27200003884,4.07,45.64
PALL MALL BL100B 50¢/1PK,27200003877,4.07,50.64
PALL MALL BL100B 50¢/1PK,27200003877,4.07,45.64
PALL MALL GOLD 100,43300000189,4.57,69.08
PALL MALL MEN BOX,27200008599,4.57,50.64
PALL MALL MEN 100 BX,27200008650,4.57,50.64
PALL MALL NON FILTER,43300000165,4.57,69.08
PALL MALL ORANGE BOX,27200001750,4.57,50.64
PALL MALL ORANGE 100B,27200001859,4.57,50.64
PALL MALL RED BOX,27200008513,4.57,50.64
PALL MALL RED 100 BX,27200008674,4.57,50.64
PALL MALL REDBX 50¢/1PK,27200003921,4.07,50.64
PALL MALL REDBX 50¢/1PK,27200003921,4.07,45.64
PALL MALL RED100B 50¢/1PK,27200003914,4.07,50.64
PALL MALL RED100B 50¢/1PK,27200003914,4.07,45.64
PALL MALL WHI MN100BX,27200347346,4.57,50.64
PALL MALL WHITE MEN BOX,27200347315,4.57,50.64
PALL MALL WHMB 50¢1/PK,27200347438,4.07,50.64
PALL MALL WHMB 50¢1/PK,27200347438,4.07,45.64
PALL MALL WHM100B 50¢/1PK,27200347469,4.07,50.64
PALL MALL WHM100B 50¢/1PK,27200347469,4.07,45.64
PYRAMID BLUE BOX,11000004936,4.19,38.23
PYRAMID BLUE 100 BOX,11000004066,4.19,38.23
PYRAMID GOLD MEN BOX,11000004943,4.19,38.23
PYRAMID GOLD MN 100BX,11000004097,4.19,38.23
PYRAMID NON FILTER BX,11000004059,4.19,38.23
PYRAMID ORANGE BOX,11000004127,4.19,38.23
PYRAMID ORANGE 100 BX,11000004134,4.19,38.23
PYRAMID RED BOX,11000004929,4.19,38.23
PYRAMID RED 100 BOX,11000004080,4.19,38.23
PYRAMID SILVER MN BOX,11000004950,4.19,38.23
PYRAMID SILVER MN100BX,11000004073,4.19,38.23
SALEM GOLD MEN BOX,12300000246,6.04,54.88
SALEM GOLD MEN 100 BX,12300000253,6.04,54.88
SALEM GR LABEL 100 BX,12300000222,6.04,54.88
SALEM GREEN LABEL BX,12300000208,6.04,54.88
SALEM SILVER MEN BOX,12300000284,6.04,54.88
SALEM SILVER MN100BX,12300000291,6.04,54.88
SALEM SLIM MEN 100 BX,12300000260,6.04,54.88
VA SLIM GOLD BOX,28200007339,6.48,58.65
VA SLIM GOLD MEN BOX,28200007346,6.48,58.65
VA SLIM GOLD S/SLIM BX,28200009821,6.48,58.65
VA SLIM GOLD 120 BOX,28200007353,6.48,58.65
VA SLIM GOLDMN S/SLIMS,28200009838,6.48,58.65
VA SLIM GOLDMN120 BX,28200007391,6.48,58.65
VA SLIM MENTHOL,28200007322,6.48,58.65
VA SLIM MENTHOL BOX,28200007742,6.48,58.65
VA SLIM S/SLIM 100 BX,28200007759,6.48,58.65
VA SLIM SIL MN 120 BX,28200009593,6.48,58.65
VA SLIM SILVER BOX,28200007438,6.48,58.65
VA SLIM SILVER MN BX,28200007445,6.48,58.65
VA SLIM SILVER 120 BX,28200009586,6.48,58.65
VA SLIM SS MEN 100 BX,28200007780,6.48,58.65
VA SLIM 100 BOX,28200007728,6.48,58.65
WINSTON GOLD BOX,12300000192,4.84,54.88
WINSTON GOLD 100 BOX,12300000598,4.84,54.88
WINSTON RED BOX,12300000123,4.84,54.88
WINSTON RED 100 BOX,12300266550,4.84,54.88
WINSTON WHITE BOX,12300703994,4.84,54.88
WINSTON WHITE 100 BOX,12300704991,4.84,54.88
